"brand_name","drug_product_description","spending_year","wac_year","wac_increase_amount","wac_after_increase","unit_sales_volume_us","total_spending_5_years","total_dosage_units_5_years","total_spending_per_year","total_dosage_units_per_year"
"Bydureon Pen",NULL,2021,NULL,NULL,NULL,NULL,"848378595.18","4840114","61065045.65","314977"
"Bydureon Pen",NULL,2022,NULL,NULL,NULL,NULL,"848378595.18","4840114","606900.63","3039"
"Byetta",NULL,2018,NULL,NULL,NULL,NULL,"254126483.50","735312","79558651.20","239537"
"Byetta",NULL,2019,NULL,NULL,NULL,NULL,"254126483.50","735312","61401577.13","181586"
"Byetta",NULL,2020,NULL,NULL,NULL,NULL,"254126483.50","735312","47676631.52","138900"
"Byetta",NULL,2021,NULL,NULL,NULL,NULL,"254126483.50","735312","37988662.49","103069"
"Byetta",NULL,2022,NULL,NULL,NULL,NULL,"254126483.50","735312","27500961.16","72220"
"Bystolic",NULL,2018,NULL,NULL,NULL,NULL,"1830737422.77","378946959","406176262.80","93405253"
"Bystolic",NULL,2019,NULL,NULL,NULL,NULL,"1830737422.77","378946959","454436511.20","95079454"
"Bystolic",NULL,2020,NULL,NULL,NULL,NULL,"1830737422.77","378946959","480351460.00","95644544"
"Bystolic",NULL,2021,NULL,NULL,NULL,NULL,"1830737422.77","378946959","415408373.10","78329800"
"Bystolic",NULL,2022,NULL,NULL,NULL,NULL,"1830737422.77","378946959","74364815.67","16487908"
"C-Nate DHA",NULL,2018,NULL,NULL,NULL,NULL,"39385.44","23880","8932.67","5280"
"C-Nate DHA",NULL,2019,NULL,NULL,NULL,NULL,"39385.44","23880","8714.34","5250"
"C-Nate DHA",NULL,2020,NULL,NULL,NULL,NULL,"39385.44","23880","9541.51","5700"
"C-Nate DHA",NULL,2021,NULL,NULL,NULL,NULL,"39385.44","23880","6645.16","4230"
"C-Nate DHA",NULL,2022,NULL,NULL,NULL,NULL,"39385.44","23880","5551.76","3420"
"Cabenuva",NULL,2021,NULL,NULL,NULL,NULL,"99276206.83","91366","11955013.47","11502"
"Cabenuva",NULL,2022,NULL,NULL,NULL,NULL,"99276206.83","91366","87321193.36","79864"
"Cabergoline",NULL,2018,NULL,NULL,NULL,NULL,"53125635.63","5286429","12094660.44","955118"
"Cabergoline",NULL,2019,NULL,NULL,NULL,NULL,"53125635.63","5286429","11222108.47","1014022"
"Cabergoline",NULL,2020,NULL,NULL,NULL,NULL,"53125635.63","5286429","10631533.80","1056467"
"Cabergoline",NULL,2021,NULL,NULL,NULL,NULL,"53125635.63","5286429","9371842.00","1111048"
"Cabergoline",NULL,2022,NULL,NULL,NULL,NULL,"53125635.63","5286429","9805490.92","1149774"
"Cablivi",NULL,2019,NULL,NULL,NULL,NULL,"48721483.49","6343","5186443.67","685"
"Cablivi",NULL,2020,NULL,NULL,NULL,NULL,"48721483.49","6343","13383595.71","1732"
"Cablivi",NULL,2021,NULL,NULL,NULL,NULL,"48721483.49","6343","12714119.27","1650"
"Cablivi",NULL,2022,NULL,NULL,NULL,NULL,"48721483.49","6343","17437324.84","2276"
"Cabometyx",NULL,2018,NULL,NULL,NULL,NULL,"2713360147.70","3835874","320398543.50","560902"
"Cabometyx",NULL,2019,NULL,NULL,NULL,NULL,"2713360147.70","3835874","430190607.60","674068"
"Cabometyx",NULL,2020,NULL,NULL,NULL,NULL,"2713360147.70","3835874","380754685.90","560646"
"Cabometyx",NULL,2021,NULL,NULL,NULL,NULL,"2713360147.70","3835874","662754253.90","902332"
"Cabometyx",NULL,2022,NULL,NULL,NULL,NULL,"2713360147.70","3835874","919262056.80","1137926"
"Caduet",NULL,2018,NULL,NULL,NULL,NULL,"13755307.28","806982","4480825.83","271761"
"Caduet",NULL,2019,NULL,NULL,NULL,NULL,"13755307.28","806982","3759651.24","227335"
"Caduet",NULL,2020,NULL,NULL,NULL,NULL,"13755307.28","806982","3144280.61","182776"
"Caduet",NULL,2021,NULL,NULL,NULL,NULL,"13755307.28","806982","1444023.49","77893"
"Caduet",NULL,2022,NULL,NULL,NULL,NULL,"13755307.28","806982","926526.11","47217"
"Calan SR",NULL,2018,NULL,NULL,NULL,NULL,"5816420.31","701155","1387030.99","169715"
"Calan SR",NULL,2019,NULL,NULL,NULL,NULL,"5816420.31","701155","1329770.89","163327"
"Calan SR",NULL,2020,NULL,NULL,NULL,NULL,"5816420.31","701155","1255618.20","153140"
"Calan SR",NULL,2021,NULL,NULL,NULL,NULL,"5816420.31","701155","1021383.29","120895"
"Calan SR",NULL,2022,NULL,NULL,NULL,NULL,"5816420.31","701155","822616.94","94078"
"Calcipotriene",NULL,2018,NULL,NULL,NULL,NULL,"390001335.49","129217600","182111780.00","45781305"
"Calcipotriene",NULL,2019,NULL,NULL,NULL,NULL,"390001335.49","129217600","95650631.18","35327456"
"Calcipotriene",NULL,2020,NULL,NULL,NULL,NULL,"390001335.49","129217600","47379201.83","21194735"
"Calcipotriene",NULL,2021,NULL,NULL,NULL,NULL,"390001335.49","129217600","35377815.64","15430895"
"Calcipotriene",NULL,2022,NULL,NULL,NULL,NULL,"390001335.49","129217600","29481906.84","11483209"
"Calcipotriene-Betamethasone",NULL,2020,NULL,NULL,NULL,NULL,"8889439.63","817997","2473622.03","180960"
"Calcipotriene-Betamethasone",NULL,2021,NULL,NULL,NULL,NULL,"8889439.63","817997","3106632.13","303547"
"Calcipotriene-Betamethasone",NULL,2022,NULL,NULL,NULL,NULL,"8889439.63","817997","3309185.47","333490"
"Calcipotriene-Betamethasone Dp",NULL,2018,NULL,NULL,NULL,NULL,"26483566.65","3613448","6140578.90","773315"
"Calcipotriene-Betamethasone Dp",NULL,2019,NULL,NULL,NULL,NULL,"26483566.65","3613448","6082395.36","767096"
"Calcipotriene-Betamethasone Dp",NULL,2020,NULL,NULL,NULL,NULL,"26483566.65","3613448","5344457.95","752760"
"Calcipotriene-Betamethasone Dp",NULL,2021,NULL,NULL,NULL,NULL,"26483566.65","3613448","5128870.18","749092"
"Calcipotriene-Betamethasone Dp",NULL,2022,NULL,NULL,NULL,NULL,"26483566.65","3613448","3787264.26","571185"
"Calcitonin-Salmon*",NULL,2018,NULL,NULL,NULL,NULL,"79860887.99","5282212","18596486.97","1260978"
"Calcitonin-Salmon*",NULL,2019,NULL,NULL,NULL,NULL,"79860887.99","5282212","16410541.69","1135849"
"Calcitonin-Salmon*",NULL,2020,NULL,NULL,NULL,NULL,"79860887.99","5282212","14641472.86","1021376"
"Calcitonin-Salmon*",NULL,2021,NULL,NULL,NULL,NULL,"79860887.99","5282212","14385738.84","967020"
"Calcitonin-Salmon*",NULL,2022,NULL,NULL,NULL,NULL,"79860887.99","5282212","15826647.63","896989"
"Calcitriol*",NULL,2018,NULL,NULL,NULL,NULL,"175860053.30","300800243","30509361.86","45829363"
"Calcitriol*",NULL,2019,NULL,NULL,NULL,NULL,"175860053.30","300800243","38735243.74","63508365"
"Calcitriol*",NULL,2020,NULL,NULL,NULL,NULL,"175860053.30","300800243","37937292.78","64266042"
"Calcitriol*",NULL,2021,NULL,NULL,NULL,NULL,"175860053.30","300800243","36184149.03","62956828"
"Calcitriol*",NULL,2022,NULL,NULL,NULL,NULL,"175860053.30","300800243","32494005.89","64239645"
"Calcium Acetate",NULL,2018,NULL,NULL,NULL,NULL,"221423826.30","569134745","51933941.97","140883494"
"Calcium Acetate",NULL,2019,NULL,NULL,NULL,NULL,"221423826.30","569134745","41009829.23","119311524"
"Calcium Acetate",NULL,2020,NULL,NULL,NULL,NULL,"221423826.30","569134745","41073356.09","100240746"
"Calcium Acetate",NULL,2021,NULL,NULL,NULL,NULL,"221423826.30","569134745","46575489.91","108503665"
"Calcium Acetate",NULL,2022,NULL,NULL,NULL,NULL,"221423826.30","569134745","40831209.10","100195316"
"Calcium Chloride",NULL,2018,NULL,NULL,NULL,NULL,"1175.84","1150","1175.84","1150"
"Calcium Gluconate",NULL,2018,NULL,NULL,NULL,NULL,"297451.31","2216108","25355.29","197056"
"Calcium Gluconate",NULL,2019,NULL,NULL,NULL,NULL,"297451.31","2216108","59661.32","433781"
"Calcium Gluconate",NULL,2020,NULL,NULL,NULL,NULL,"297451.31","2216108","41454.03","359297"
"Calcium Gluconate",NULL,2021,NULL,NULL,NULL,NULL,"297451.31","2216108","84406.65","481099"
"Calcium Gluconate",NULL,2022,NULL,NULL,NULL,NULL,"297451.31","2216108","86574.02","744875"
"Calquence",NULL,2018,NULL,NULL,NULL,NULL,"2454998546.40","10071512","33476152.10","140581"
"Calquence",NULL,2019,NULL,NULL,NULL,NULL,"2454998546.40","10071512","103935941.40","433557"
"Calquence",NULL,2020,NULL,NULL,NULL,NULL,"2454998546.40","10071512","349971872.60","1458398"
"Calquence",NULL,2021,NULL,NULL,NULL,NULL,"2454998546.40","10071512","774700145.30","3220025"
"Calquence",NULL,2022,NULL,NULL,NULL,NULL,"2454998546.40","10071512","1192914435.00","4818951"
"Cambia",NULL,2018,NULL,NULL,NULL,NULL,"33292014.71","400539","6227915.46","93211"
"Cambia",NULL,2019,NULL,NULL,NULL,NULL,"33292014.71","400539","6930068.46","90894"
"Cambia",NULL,2020,NULL,NULL,NULL,NULL,"33292014.71","400539","7032916.44","82907"
"Cambia",NULL,2021,NULL,NULL,NULL,NULL,"33292014.71","400539","6823633.69","72249"
"Cambia",NULL,2022,NULL,NULL,NULL,NULL,"33292014.71","400539","6277480.66","61278"
"Camila",NULL,2018,NULL,NULL,NULL,NULL,"489010.39","822509","164612.20","275706"
"Camila",NULL,2019,NULL,NULL,NULL,NULL,"489010.39","822509","174582.23","293954"
"Camila",NULL,2020,NULL,NULL,NULL,NULL,"489010.39","822509","82069.48","129236"
"Camila",NULL,2021,NULL,NULL,NULL,NULL,"489010.39","822509","37151.51","69205"
"Camila",NULL,2022,NULL,NULL,NULL,NULL,"489010.39","822509","30594.97","54408"
"Camrese",NULL,2018,NULL,NULL,NULL,NULL,"707336.49","502734","184952.38","119456"
"Camrese",NULL,2019,NULL,NULL,NULL,NULL,"707336.49","502734","215852.52","140467"
"Camrese",NULL,2020,NULL,NULL,NULL,NULL,"707336.49","502734","177070.34","111568"
"Camrese",NULL,2021,NULL,NULL,NULL,NULL,"707336.49","502734","66090.14","63630"
"Camrese",NULL,2022,NULL,NULL,NULL,NULL,"707336.49","502734","63371.11","67613"
"Camrese Lo",NULL,2018,NULL,NULL,NULL,NULL,"393944.94","267010","94964.83","60636"
"Camrese Lo",NULL,2019,NULL,NULL,NULL,NULL,"393944.94","267010","91389.00","58786"
"Camrese Lo",NULL,2020,NULL,NULL,NULL,NULL,"393944.94","267010","72819.71","50673"
"Camrese Lo",NULL,2021,NULL,NULL,NULL,NULL,"393944.94","267010","71492.02","49777"
"Camrese Lo",NULL,2022,NULL,NULL,NULL,NULL,"393944.94","267010","63279.38","47138"
"Camzyos",NULL,2022,NULL,NULL,NULL,NULL,"8095503.68","31575","8095503.68","31575"
"Canasa",NULL,2018,NULL,NULL,NULL,NULL,"80993240.41","2222376","51092318.65","1442392"
"Canasa",NULL,2019,NULL,NULL,NULL,NULL,"80993240.41","2222376","15816186.02","418496"
"Canasa",NULL,2020,NULL,NULL,NULL,NULL,"80993240.41","2222376","9738251.28","247898"
"Canasa",NULL,2021,NULL,NULL,NULL,NULL,"80993240.41","2222376","2596750.59","68945"
"Canasa",NULL,2022,NULL,NULL,NULL,NULL,"80993240.41","2222376","1749733.87","44645"
"Cancidas",NULL,2018,NULL,NULL,NULL,NULL,"1218261.48","64196","926924.73","42904"
"Cancidas",NULL,2019,NULL,NULL,NULL,NULL,"1218261.48","64196","179140.03","13501"
"Cancidas",NULL,2020,NULL,NULL,NULL,NULL,"1218261.48","64196","66887.26","7637"
"Cancidas",NULL,2021,NULL,NULL,NULL,NULL,"1218261.48","64196","45309.46","154"
"Candesartan-Hydrochlorothiazid",NULL,2018,NULL,NULL,NULL,NULL,"96511645.75","38052584","9785982.11","3627836"
"Candesartan-Hydrochlorothiazid",NULL,2019,NULL,NULL,NULL,NULL,"96511645.75","38052584","19095405.45","7318628"
"Candesartan-Hydrochlorothiazid",NULL,2020,NULL,NULL,NULL,NULL,"96511645.75","38052584","24183915.54","9517901"
"Candesartan-Hydrochlorothiazid",NULL,2021,NULL,NULL,NULL,NULL,"96511645.75","38052584","22034417.72","9051766"
"Candesartan-Hydrochlorothiazid",NULL,2022,NULL,NULL,NULL,NULL,"96511645.75","38052584","21411924.93","8536453"
"Candesartan Cilexetil",NULL,2018,NULL,NULL,NULL,NULL,"240558222.08","139287586","26411988.84","13470134"
"Candesartan Cilexetil",NULL,2019,NULL,NULL,NULL,NULL,"240558222.08","139287586","51004779.46","27245341"
"Candesartan Cilexetil",NULL,2020,NULL,NULL,NULL,NULL,"240558222.08","139287586","56159722.22","33272750"
"Candesartan Cilexetil",NULL,2021,NULL,NULL,NULL,NULL,"240558222.08","139287586","52431830.01","32922036"
"Candesartan Cilexetil",NULL,2022,NULL,NULL,NULL,NULL,"240558222.08","139287586","54549901.55","32377325"
"Capecitabine",NULL,2020,NULL,NULL,NULL,NULL,"237855.66","56937","91988.33","14389"
"Capecitabine",NULL,2021,NULL,NULL,NULL,NULL,"237855.66","56937","101209.08","23287"
"Capecitabine",NULL,2022,NULL,NULL,NULL,NULL,"237855.66","56937","44658.25","19261"
"Capex Shampoo",NULL,2018,NULL,NULL,NULL,NULL,"883649.39","275644","432250.40","134370"
"Capex Shampoo",NULL,2019,NULL,NULL,NULL,NULL,"883649.39","275644","365588.01","114436"
"Capex Shampoo",NULL,2020,NULL,NULL,NULL,NULL,"883649.39","275644","69909.31","21928"
"Capex Shampoo",NULL,2021,NULL,NULL,NULL,NULL,"883649.39","275644","7512.71","2280"
"Capex Shampoo",NULL,2022,NULL,NULL,NULL,NULL,"883649.39","275644","8388.96","2630"
"Caplyta",NULL,2020,NULL,NULL,NULL,NULL,"168468845.77","3330548","12480688.32","273839"
"Caplyta",NULL,2021,NULL,NULL,NULL,NULL,"168468845.77","3330548","47511497.85","974994"
"Caplyta",NULL,2022,NULL,NULL,NULL,NULL,"168468845.77","3330548","108476659.60","2081715"
"Caprelsa",NULL,2018,NULL,NULL,NULL,NULL,"42255734.10","138295","10972914.93","37101"
"Caprelsa",NULL,2019,NULL,NULL,NULL,NULL,"42255734.10","138295","10453250.56","35248"
"Caprelsa",NULL,2020,NULL,NULL,NULL,NULL,"42255734.10","138295","10062080.81","32790"
"Caprelsa",NULL,2021,NULL,NULL,NULL,NULL,"42255734.10","138295","7055411.45","22993"
"Caprelsa",NULL,2022,NULL,NULL,NULL,NULL,"42255734.10","138295","3712076.35","10163"
"Captopril",NULL,2018,NULL,NULL,NULL,NULL,"64164725.58","60538085","13113367.99","10794702"
"Captopril",NULL,2019,NULL,NULL,NULL,NULL,"64164725.58","60538085","13863865.16","12590171"
"Captopril",NULL,2020,NULL,NULL,NULL,NULL,"64164725.58","60538085","14368093.75","14075581"
"Captopril",NULL,2021,NULL,NULL,NULL,NULL,"64164725.58","60538085","12248179.14","12283331"
"Captopril",NULL,2022,NULL,NULL,NULL,NULL,"64164725.58","60538085","10571219.54","10794300"
"Carac",NULL,2018,NULL,NULL,NULL,NULL,"931425.93","11821","268593.95","3300"
"Carac",NULL,2019,NULL,NULL,NULL,NULL,"931425.93","11821","306684.05","3960"
"Carac",NULL,2020,NULL,NULL,NULL,NULL,"931425.93","11821","146487.60","1951"
"Carac",NULL,2021,NULL,NULL,NULL,NULL,"931425.93","11821","105773.59","1320"
"Carac",NULL,2022,NULL,NULL,NULL,NULL,"931425.93","11821","103886.74","1290"
"Carafate",NULL,2018,NULL,NULL,NULL,NULL,"246150646.06","495281171","102769800.20","219335523"
"Carafate",NULL,2019,NULL,NULL,NULL,NULL,"246150646.06","495281171","105294398.80","205216953"
"Carafate",NULL,2020,NULL,NULL,NULL,NULL,"246150646.06","495281171","28700305.67","54384895"
"Carafate",NULL,2021,NULL,NULL,NULL,NULL,"246150646.06","495281171","6334079.77","11171095"
"Carafate",NULL,2022,NULL,NULL,NULL,NULL,"246150646.06","495281171","3052061.62","5172705"
"Carbamazepine",NULL,2018,NULL,NULL,NULL,NULL,"319658465.88","738694623","69688321.82","157819848"
"Carbamazepine",NULL,2019,NULL,NULL,NULL,NULL,"319658465.88","738694623","65483912.90","155928081"
"Carbamazepine",NULL,2020,NULL,NULL,NULL,NULL,"319658465.88","738694623","65438291.32","150657586"
"Carbamazepine",NULL,2021,NULL,NULL,NULL,NULL,"319658465.88","738694623","62914835.24","139988461"
"Carbamazepine",NULL,2022,NULL,NULL,NULL,NULL,"319658465.88","738694623","56133104.60","134300647"
"Carbamazepine ER",NULL,2018,NULL,NULL,NULL,NULL,"423900258.22","288716801","84361982.29","55530931"
"Carbamazepine ER",NULL,2019,NULL,NULL,NULL,NULL,"423900258.22","288716801","87672544.60","57430738"
"Carbamazepine ER",NULL,2020,NULL,NULL,NULL,NULL,"423900258.22","288716801","88793240.86","59192251"
"Carbamazepine ER",NULL,2021,NULL,NULL,NULL,NULL,"423900258.22","288716801","82038200.79","58401711"
"Carbamazepine ER",NULL,2022,NULL,NULL,NULL,NULL,"423900258.22","288716801","81034289.68","58161170"
"Carbatrol",NULL,2018,NULL,NULL,NULL,NULL,"21957899.10","12103067","5149066.91","2870067"
"Carbatrol",NULL,2019,NULL,NULL,NULL,NULL,"21957899.10","12103067","4673899.68","2594603"
"Carbatrol",NULL,2020,NULL,NULL,NULL,NULL,"21957899.10","12103067","4296339.05","2384356"
"Carbatrol",NULL,2021,NULL,NULL,NULL,NULL,"21957899.10","12103067","4012709.70","2191282"
"Carbatrol",NULL,2022,NULL,NULL,NULL,NULL,"21957899.10","12103067","3825883.76","2062759"
"Carbidopa",NULL,2018,NULL,NULL,NULL,NULL,"60717381.39","12826234","14119995.33","2204088"
"Carbidopa",NULL,2019,NULL,NULL,NULL,NULL,"60717381.39","12826234","13641999.68","2317251"
"Carbidopa",NULL,2020,NULL,NULL,NULL,NULL,"60717381.39","12826234","12385679.23","2493244"
"Carbidopa",NULL,2021,NULL,NULL,NULL,NULL,"60717381.39","12826234","10101028.45","2787295"
"Carbidopa",NULL,2022,NULL,NULL,NULL,NULL,"60717381.39","12826234","10468678.70","3024356"
"Carbidopa-Levodopa",NULL,2018,NULL,NULL,NULL,NULL,"586492509.10","2867531748","107718421.20","526460175"
"Carbidopa-Levodopa",NULL,2019,NULL,NULL,NULL,NULL,"586492509.10","2867531748","107758204.10","558703765"
"Carbidopa-Levodopa",NULL,2020,NULL,NULL,NULL,NULL,"586492509.10","2867531748","117657007.40","580164864"
"Carbidopa-Levodopa",NULL,2021,NULL,NULL,NULL,NULL,"586492509.10","2867531748","128409629.30","586568948"
"Carbidopa-Levodopa",NULL,2022,NULL,NULL,NULL,NULL,"586492509.10","2867531748","124949247.10","615633996"
"Carbidopa-Levodopa-Entacapone",NULL,2018,NULL,NULL,NULL,NULL,"122160059.07","61008303","32748468.38","14635661"
"Carbidopa-Levodopa-Entacapone",NULL,2019,NULL,NULL,NULL,NULL,"122160059.07","61008303","27377193.34","13598638"
"Carbidopa-Levodopa-Entacapone",NULL,2020,NULL,NULL,NULL,NULL,"122160059.07","61008303","23771263.54","12401427"
"Carbidopa-Levodopa-Entacapone",NULL,2021,NULL,NULL,NULL,NULL,"122160059.07","61008303","21005926.97","10732000"
"Carbidopa-Levodopa-Entacapone",NULL,2022,NULL,NULL,NULL,NULL,"122160059.07","61008303","17257206.84","9640577"
"Carbidopa-Levodopa ER",NULL,2018,NULL,NULL,NULL,NULL,"207830020.01","360283982","38722470.39","66896188"
"Carbidopa-Levodopa ER",NULL,2019,NULL,NULL,NULL,NULL,"207830020.01","360283982","41818875.10","70997626"
"Carbidopa-Levodopa ER",NULL,2020,NULL,NULL,NULL,NULL,"207830020.01","360283982","43247692.73","73393153"
"Carbidopa-Levodopa ER",NULL,2021,NULL,NULL,NULL,NULL,"207830020.01","360283982","42795467.10","73327350"
"Carbidopa-Levodopa ER",NULL,2022,NULL,NULL,NULL,NULL,"207830020.01","360283982","41245514.69","75669665"
"Carbinoxamine Maleate",NULL,2018,NULL,NULL,NULL,NULL,"6636579.82","913844","816795.45","115321"
"Carbinoxamine Maleate",NULL,2019,NULL,NULL,NULL,NULL,"6636579.82","913844","1467126.53","144674"
"Carbinoxamine Maleate",NULL,2020,NULL,NULL,NULL,NULL,"6636579.82","913844","1026645.35","188590"
"Carbinoxamine Maleate",NULL,2021,NULL,NULL,NULL,NULL,"6636579.82","913844","1707124.56","221390"
"Carbinoxamine Maleate",NULL,2022,NULL,NULL,NULL,NULL,"6636579.82","913844","1618887.93","243869"
"Carboplatin",NULL,2018,NULL,NULL,NULL,NULL,"783192.98","689897","121371.80","109322"
"Carboplatin",NULL,2019,NULL,NULL,NULL,NULL,"783192.98","689897","138549.19","122580"
"Carboplatin",NULL,2020,NULL,NULL,NULL,NULL,"783192.98","689897","142793.03","122446"
"Carboplatin",NULL,2021,NULL,NULL,NULL,NULL,"783192.98","689897","172311.84","146968"
"Carboplatin",NULL,2022,NULL,NULL,NULL,NULL,"783192.98","689897","208167.12","188581"
"Cardizem",NULL,2018,NULL,NULL,NULL,NULL,"2075528.20","248166","507252.93","63498"
"Cardizem",NULL,2019,NULL,NULL,NULL,NULL,"2075528.20","248166","451124.65","54621"
"Cardizem",NULL,2020,NULL,NULL,NULL,NULL,"2075528.20","248166","447835.44","53233"
"Cardizem",NULL,2021,NULL,NULL,NULL,NULL,"2075528.20","248166","363921.26","41437"
"Cardizem",NULL,2022,NULL,NULL,NULL,NULL,"2075528.20","248166","305393.92","35377"
"Cardizem CD",NULL,2018,NULL,NULL,NULL,NULL,"21596510.83","574679","6640221.28","194211"
"Cardizem CD",NULL,2019,NULL,NULL,NULL,NULL,"21596510.83","574679","3894022.75","103729"
"Cardizem CD",NULL,2020,NULL,NULL,NULL,NULL,"21596510.83","574679","3928724.31","102032"
"Cardizem CD",NULL,2021,NULL,NULL,NULL,NULL,"21596510.83","574679","3650699.70","91331"
"Cardizem CD",NULL,2022,NULL,NULL,NULL,NULL,"21596510.83","574679","3482842.79","83376"
"Cardizem La",NULL,2018,NULL,NULL,NULL,NULL,"22469998.47","7049886","4829677.18","1492135"
"Cardizem La",NULL,2019,NULL,NULL,NULL,NULL,"22469998.47","7049886","4608225.62","1438540"
"Cardizem La",NULL,2020,NULL,NULL,NULL,NULL,"22469998.47","7049886","4591387.41","1457893"
"Cardizem La",NULL,2021,NULL,NULL,NULL,NULL,"22469998.47","7049886","4368406.20","1362904"
"Cardizem La",NULL,2022,NULL,NULL,NULL,NULL,"22469998.47","7049886","4072302.06","1298414"
"Cardura",NULL,2018,NULL,NULL,NULL,NULL,"4987293.60","1019100","1370615.31","290543"
"Cardura",NULL,2019,NULL,NULL,NULL,NULL,"4987293.60","1019100","1223436.05","260653"
"Cardura",NULL,2020,NULL,NULL,NULL,NULL,"4987293.60","1019100","1159081.16","237216"
"Cardura",NULL,2021,NULL,NULL,NULL,NULL,"4987293.60","1019100","717905.14","136824"
"Cardura",NULL,2022,NULL,NULL,NULL,NULL,"4987293.60","1019100","516255.94","93864"
"Cardura XL",NULL,2018,NULL,NULL,NULL,NULL,"3506081.67","622481","528669.15","100384"
"Cardura XL",NULL,2019,NULL,NULL,NULL,NULL,"3506081.67","622481","673831.52","127787"
"Cardura XL",NULL,2020,NULL,NULL,NULL,NULL,"3506081.67","622481","780192.14","140278"
"Cardura XL",NULL,2021,NULL,NULL,NULL,NULL,"3506081.67","622481","820308.00","139046"
"Cardura XL",NULL,2022,NULL,NULL,NULL,NULL,"3506081.67","622481","703080.86","114986"
"Carefine Pen Needle",NULL,2018,NULL,NULL,NULL,NULL,"588100.58","1720513","227401.46","681805"
"Carefine Pen Needle",NULL,2019,NULL,NULL,NULL,NULL,"588100.58","1720513","120651.95","350263"
"Carefine Pen Needle",NULL,2020,NULL,NULL,NULL,NULL,"588100.58","1720513","89879.49","262180"
"Carefine Pen Needle",NULL,2021,NULL,NULL,NULL,NULL,"588100.58","1720513","75958.34","216598"
"Carefine Pen Needle",NULL,2022,NULL,NULL,NULL,NULL,"588100.58","1720513","74209.34","209667"
"Caretouch Alcohol Prep Pad",NULL,2018,NULL,NULL,NULL,NULL,"23887.76","317800","12889.92","133280"
"Caretouch Alcohol Prep Pad",NULL,2019,NULL,NULL,NULL,NULL,"23887.76","317800","4867.72","50050"
"Caretouch Alcohol Prep Pad",NULL,2020,NULL,NULL,NULL,NULL,"23887.76","317800","1464.29","25200"
"Caretouch Alcohol Prep Pad",NULL,2021,NULL,NULL,NULL,NULL,"23887.76","317800","4010.03","90410"
"Caretouch Alcohol Prep Pad",NULL,2022,NULL,NULL,NULL,NULL,"23887.76","317800","655.80","18860"
"Caretouch Pen Needle",NULL,2018,NULL,NULL,NULL,NULL,"9457.61","52618","3712.98","17400"
"Caretouch Pen Needle",NULL,2019,NULL,NULL,NULL,NULL,"9457.61","52618","2461.78","10570"
"Caretouch Pen Needle",NULL,2020,NULL,NULL,NULL,NULL,"9457.61","52618","1410.97","6160"
"Caretouch Pen Needle",NULL,2021,NULL,NULL,NULL,NULL,"9457.61","52618","1027.02","7160"
"Caretouch Pen Needle",NULL,2022,NULL,NULL,NULL,NULL,"9457.61","52618","844.86","11328"
"Carisoprodol",NULL,2018,NULL,NULL,NULL,NULL,"28829346.20","161145879","5005552.95","28446069"
"Carisoprodol",NULL,2019,NULL,NULL,NULL,NULL,"28829346.20","161145879","5947303.37","34112269"
"Carisoprodol",NULL,2020,NULL,NULL,NULL,NULL,"28829346.20","161145879","5872654.98","34458354"
"Carisoprodol",NULL,2021,NULL,NULL,NULL,NULL,"28829346.20","161145879","5850676.22","33055783"
"Carisoprodol",NULL,2022,NULL,NULL,NULL,NULL,"28829346.20","161145879","6153158.68","31073404"
"Carnitor",NULL,2018,NULL,NULL,NULL,NULL,"312647.97","1039877","70076.87","244118"
"Carnitor",NULL,2019,NULL,NULL,NULL,NULL,"312647.97","1039877","63988.21","216522"
"Carnitor",NULL,2020,NULL,NULL,NULL,NULL,"312647.97","1039877","67695.90","227210"
"Carnitor",NULL,2021,NULL,NULL,NULL,NULL,"312647.97","1039877","55646.58","179757"
"Carnitor",NULL,2022,NULL,NULL,NULL,NULL,"312647.97","1039877","55240.41","172270"
"Carnitor SF",NULL,2018,NULL,NULL,NULL,NULL,"65398.71","182363","25858.72","71788"
"Carnitor SF",NULL,2019,NULL,NULL,NULL,NULL,"65398.71","182363","17900.57","48437"
"Carnitor SF",NULL,2020,NULL,NULL,NULL,NULL,"65398.71","182363","13396.88","38416"
"Carnitor SF",NULL,2021,NULL,NULL,NULL,NULL,"65398.71","182363","8242.54","23722"
"Carnitor*",NULL,2018,NULL,NULL,NULL,NULL,"2195537.55","1539057","423611.21","391795"
"Carnitor*",NULL,2019,NULL,NULL,NULL,NULL,"2195537.55","1539057","388969.95","230694"
"Carnitor*",NULL,2020,NULL,NULL,NULL,NULL,"2195537.55","1539057","451469.50","315788"
"Carnitor*",NULL,2021,NULL,NULL,NULL,NULL,"2195537.55","1539057","387772.05","235903"
"Carnitor*",NULL,2022,NULL,NULL,NULL,NULL,"2195537.55","1539057","543714.84","364877"
"Carospir",NULL,2018,NULL,NULL,NULL,NULL,"1254019.72","418274","69201.58","30904"
"Carospir",NULL,2019,NULL,NULL,NULL,NULL,"1254019.72","418274","118997.76","47717"
"Carospir",NULL,2020,NULL,NULL,NULL,NULL,"1254019.72","418274","235443.78","86824"
"Carospir",NULL,2021,NULL,NULL,NULL,NULL,"1254019.72","418274","355190.45","117326"
"Carospir",NULL,2022,NULL,NULL,NULL,NULL,"1254019.72","418274","475186.15","135503"
"Carteolol HCl",NULL,2018,NULL,NULL,NULL,NULL,"2786562.07","1146868","476745.05","218263"
